Database,Material,Subtype,kgCO2e/kg,Comments,density,wastage,densityAssumption,wasteReference,Latest,,
ICE v2.0 2011 (UK),Copper,EU Tube & Sheet,2.71,"EU production data, estimated from Kupfer Institut LCI data. 37% recycled content (the 3 year world average). World average data is expected to be higher than these values.",8600,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Copper,EU Tube & Sheet - Virgin,3.81,,8600,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Copper,EU Tube & Sheet - Recycled,0.84,,8600,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Copper,Recycled from high grade scrap ,1.1,"Uncertain, difficult to estimate with the data available.",8600,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Copper,Recycled from low grade scrap ,3.1,"Uncertain, difficult to estimate with the data available.",8600,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Glass,Primary,0.91,Includes process CO2 emissions from primary glass manufacture.,2500,1,Solid (soda lime) value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Glass,Secondary,0.59,EE estimated from Ref 115.,2500,1,,WRAP,FALSE,,
ICE v2.0 2011 (UK),Glass,Fibreglass,1.54,"Large data range, but the selected value is inside a small band of frequently quoted values.",2500,1,,WRAP,FALSE,,
ICE v2.0 2011 (UK),Glass,Toughened,1.35,Only three data sources,2500,1,,WRAP,FALSE,,
ICE v2.0 2011 (UK),Insulation,Cork,0.19,Ref. 55.,110,5,From CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Insulation,Rockwool,1.12,Cradle to Grave,100,15,From CIBSE data. Can vary significantly.,WRAP,TRUE,,
ICE v2.0 2011 (UK),Iron,General,2.03,It was difficult to estimate the embodied energy and carbon of iron with the data available.,7870,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Lead,General,1.6681,"Allocated (divided) on a mass basis, assumes recycling rate of 61%",11340,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Lead,General - Virgin,3.37,,11340,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Lead,General - Recycled,0.58,Scrap batteries are a main feedstock for recycled lead,11340,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Linoleum,General,1.21,"Data difficult to select, large data range.",1200,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Miscellaneous,Chromium,5.39,Ref. 22.,7190,5,From Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Miscellaneous,Lithium,5.3,Ref. 22.,534,5,From Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Miscellaneous,Mandolite,1.4,Ref. 1.,390,5,https://www.ribaproductselector.com/Product.aspx?ci=1486&pr=Promat-MANDOLITECP2,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Miscellaneous,Manganese,3.5,Ref. 22.,7210,5,From Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Miscellaneous,Mercury,4.94,Ref. 22.,13534,5,From Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Miscellaneous,Molybedenum,30.3,Ref. 22.,1028,5,From Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Miscellaneous,Nickel,12.4,Ref. 114.,8908,5,From Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Miscellaneous,Perlite - Expanded,0.52,Ref. 114.,90,5,Average from Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Miscellaneous,Perlite - Natural,0.03,Ref. 114.,1100,5,From Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Miscellaneous,Silver,6.31,Ref. 148.,1050,5,From Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Miscellaneous,Vanadium,228,Ref. 22.,6100,5,From Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Miscellaneous,Water,0.0008,,1000,5,From Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Miscellaneous,Yttrium,84,Ref. 22.,4472,5,From Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Miscellaneous,Zirconium,97.2,Ref. 22.,6520,5,From Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Paper,Paperboard (General for construction use),1.29,"Excluding calorific value (CV) of wood, excludes carbon sequestration/biogenic carbon storage. Assumes kgCO2 = kgCO2e",480,5,Laminated paper value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Paper,Fine Paper,1.49,"Excluding CV of wood, excludes carbon sequestration.  Assumes kgCO2 = kgCO2e",480,5,Laminated paper value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Paper,Wallpaper,1.93,Assumes kgCO2 = kgCO2e,480,5,Laminated paper value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Plaster,General (Gypsum),0.13,"Problems selecting good value, inconsistent figures, West et al believe this is because of past aggregation of EE with cement",1200,5,Gypsum value from CIBSE data,WRAP,TRUE,,
ICE v2.0 2011 (UK),Plaster,Plasterboard,0.39,"See Ref [WRAP] for further info on GWP data, including disposal impacts which are significant for Plasterboard.",950,22.5,Plasterboard value from CIBSE data,WRAP,TRUE,,
ICE v2.0 2011 (UK),Plastics,ABS,3.76,48.6 MJ/kg Feedstock Energy  (Included),1025,5,http://www.bpf.co.uk//plastipedia/polymers/ABS_and_Other_Specialist_Styrenics.aspx,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Plastics,HDPE Pipe,2.52,55.1 MJ/kg Feedstock Energy  (Included),970,5,From Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Plastics,LDPE Film,2.6,55.2 MJ/kg Feedstock Energy (Included),930,15,From Wikipedia,WRAP,TRUE,,
ICE v2.0 2011 (UK),Plastics,Nylon (Polyamide) 6 Polymer,9.14,"38.6 MJ/kg Feedstock Energy  (Included). Doesn t include final fabrication. Plastics Europe state that two thirds of nylon is used as fibres (textiles, carpets etc) in Europe and that most of the remainder as injection mouldings. Dinitrogen monoxide and methane emissions are very significant contributors to GWP.",1150,5,From Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Plastics,"Nylon (polyamide) 6,6 Polymer",7.92,50.7 MJ/kg Feedstock Energy  (Included). Doesn t include final fabrication (i.e. injection moulding). See comments for Nylon 6 polymer.,1150,5,From Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Plastics,Polycarbonate,7.62,36.7 MJ/kg Feedstock Energy  (Included). Doesn t include final fabrication.,1200,5,https://www.ribaproductselector.com/Docs/4/09674/external/COL641227.pdf,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Plastics,"Polypropylene, Orientated Film",3.43,55.7 MJ/kg Feedstock Energy  (Included).,1175,5,From Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Plastics,"Polypropylene, Injection Moulding",4.49,"54 MJ/kg Feedstock Energy  (Included). If biomass benefits are included the CO2 may reduce to 3.85 kgCO2/kg, and GWP down to 4.41 kg CO2e/kg.",1175,5,From Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Plastics,Expanded Polystyrene,3.29,46.2 MJ/kg Feedstock Energy  (Included),35,5,https://www.ribaproductselector.com/Docs/1/02081/external/COL578974.pdf,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Plastics,General Purpose Polystyrene,3.43,46.3 MJ/kg Feedstock Energy  (Included),1050,5,http://www.bpf.co.uk/plastipedia/polymers/GPPS.aspx,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Plastics,High Impact Polystyrene,3.42,46.4 MJ/kg Feedstock Energy  (Included),1045,5,http://www.bpf.co.uk/plastipedia/polymers/HIPS.aspx,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Plastics,Polyurethane Flexible Foam,4.84,33.47 MJ/kg Feedstock Energy  (Included). Poor data availability for feedstock energy,30,5,Polyurethane foam value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Plastics,Polyurethane Rigid Foam,4.26,37.07 MJ/kg Feedstock Energy  (Included). Poor data availability for feedstock energy,30,5,Polyurethane form value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Plastics,PVC General,3.1,28.1 MJ/kg Feedstock Energy  (Included). Based on market average consumption of types of PVC in the European construction industry,1380,5,Polyvinylchloride (PVC) value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Plastics,PVC Pipe,3.23,"24.4 MJ/kg Feedstock Energy  (Included). If biomass benefits are included the CO2 may reduce to 2.51 kgCO2/kg, and GWP down to 3.23 kg CO2e/kg.",1380,5,Polyvinylchloride (PVC) value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Plastics,Calendered Sheet PVC,3.19,"24.4 MJ/kg Feedstock Energy  (Included). If biomass benefits are included the CO2 may reduce to 2.56 kgCO2/kg, and GWP down to 3.15 kg CO2e/kg.",1380,5,Polyvinylchloride (PVC) value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Plastics,PVC Injection Moulding,3.3,"35.1 MJ/kg Feedstock Energy  (Included). If biomass benefits are included the CO2 may reduce to 2.23 kgCO2/kg, and GWP down to 2.84 kg CO2e/kg.",1380,5,Polyvinylchloride (PVC) value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Plastics,UPVC Film,3.16,25.3 MJ/kg Feedstock Energy  (Included),1380,5,Polyvinylchloride (PVC) value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Rubber,General,2.85,40 MJ/kg Feedstock Energy  (Included). Density value is general value from ICE database,1500,6,Rubber value from CIBSE data,WRAP,TRUE,,
ICE v2.0 2011 (UK),Sand,General,0.0051,Estimated from real UK industrial fuel consumption data,2240,5,Sand value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Steel,General - UK (EU) Average Recycled Content,1.46,EU 3-average recycled content of 59%. Estimated from UK's consumption mixture of types of steel (excluding stainless). All data doesn't include the final cutting of the steel products to the specified dimensions or further fabrication activities. Estimated from World Steel Association (Worldsteel) LCA data.,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,General - Virgin,2.89,,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,General - Recycled,0.47,Could not collect strong statistics on consumption mix of recycled steel.,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Bar & rod - UK (EU) Average Recycled Content,1.4, EU 3-average recycled content of 59%,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Bar & rod - Virgin,2.77,,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Bar & rod - Recycled,0.45,,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Coil (Sheet) - UK (EU) Average Recycled Content,1.38,Effective recycled content because recycling route is not typical.  EU 3-average recycled content of 59%,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Coil (Sheet) - Virgin,2.74,,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,"Coil (Sheet), Galvanised - UK (EU) Average Recycled Content",1.54,Effective recycled content because recycling route is not typical.  EU 3-average recycled content of 59%,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,"Coil (Sheet), Galvanised - Virgin",3.01,,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Engineering steel - Recycled,0.72,,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Pipe- UK (EU) Average Recycled Content,1.45,Effective recycled content because recycling route is not typical.  EU 3-average recycled content of 59%,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Pipe - Virgin,2.87,,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Plate- UK (EU) Average Recycled Content,1.66,Effective recycled content because recycling route is not typical.  EU 3-average recycled content of 59%,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Plate - Virgin,3.27,,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Section- UK (EU) Average Recycled Content,1.53,,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Section - Virgin,3.03,,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Section - Recycled,0.47,,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Wire - Virgin,3.02,,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Stainless,6.145,World average data from the Institute of Stainless Steel Forum (ISSF) life cycle inventory data. Selected data is for the most popular grade (304). Stainless steel does not have separate primary and recycled material production routes.,8000,0,Stainless steel 20%Ni value from CIBSE data,WRAP,TRUE,,
ICE v2.0 2011 (UK),Steel,General - R.O.W. Avg. Recy. Cont.,2.03,Rest of World (non-E.U.) consumption of steel. 3 year average recycled content of 35.5%.,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,General - World Avg. Recy. Cont.,1.95,Whole world 3 year average recycled content of 39%.,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Bar & rod- R.O.W. Avg. Recy. Cont.,1.95,Rest of World (non-E.U.) consumption of steel. 3 year average recycled content of 35.5%.,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Bar & rod - World Avg. Recy. Cont.,1.86,Whole world 3 year average recycled content of 39%.,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Coil - R.O.W. Avg. Recy. Cont.,1.92,Rest of World (non-E.U.) consumption of steel. 3 year average recycled content of 35.5%.,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Coil - World Avg. Recy. Cont.,1.85,Whole world 3 year average recycled content of 39%.,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,"Coil, Galvanised - R.O.W. Avg. Recy. Cont.",2.12,Rest of World (non-E.U.) consumption of steel. 3 year average recycled content of 35.5%.,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,"Coil, Galvanised - World Avg. Recy. Cont.",2.03,Whole world 3 year average recycled content of 39%.,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Pipe - R.O.W. Avg. Recy. Cont.,2.01,Rest of World (non-E.U.) consumption of steel. 3 year average recycled content of 35.5%.,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Pipe - World Avg. Recy. Cont.,1.94,Whole world 3 year average recycled content of 39%.,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Plate - R.O.W. Avg. Recy. Cont.,2.31,Rest of World (non-E.U.) consumption of steel. 3 year average recycled content of 35.5%.,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Plate - World Avg. Recy. Cont.,2.21,Whole world 3 year average recycled content of 39%.,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Section - R.O.W. Avg. Recy. Cont.,2.12,Rest of World (non-E.U.) consumption of steel. 3 year average recycled content of 35.5%.,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Steel,Section - World Avg. Recy. Cont.,2.03,Whole world 3 year average recycled content of 39%.,7800,0,General steel value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Stone,General ,0.079,"ICE database average (statistic), uncertain. See material profile.",2200,5,Assumed density,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Stone,Granite,0.7,Estimated from Ref 116.,2880,5,From CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Stone,Limestone,0.09,Estimated from Ref 188.,2180,10,From CIBSE data,WRAP,TRUE,,
ICE v2.0 2011 (UK),Stone,Marble,0.13,,2500,3,From CIBSE data,WRAP,TRUE,,
ICE v2.0 2011 (UK),Stone,Marble tile,0.21,Ref. 40.,2500,5,From CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Stone,Sandstone,0.06,Uncertain estimate based on Ref. 262.,2200,5,From CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Stone,Shale,0.002,,2700,5,From CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Stone,Slate,0.035,Large data range,1600,5,From CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Timber,General,0.72,Estimated from UK consumption mixture of timber products in 2007 (Timber Trade Federation statistics). Includes 4.3 MJ bio-energy. All values do not include the CV of timber product and exclude carbon storage.,650,10,Pine value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Timber,Glue Laminated timber ,0.87,Includes 4.9 MJ bio-energy.,700,10,https://www.ribaproductselector.com/Docs/4/27984/external/COL221166.pdf,WRAP,FALSE,,
ICE v2.0 2011 (UK),Timber,Hardboard,1.09,Hardboard is a type of fibreboard with a density above 800 kg/m3. Includes 5.6 MJ bio-energy.,900,10,https://www.ribaproductselector.com/Docs/4/27984/external/COL221166.pdf,WRAP,FALSE,,
ICE v2.0 2011 (UK),Timber,Laminated Veneer Lumber,0.65,Ref 150. Includes 3.5 MJ bio-energy.,900,10,https://www.ribaproductselector.com/Docs/4/27984/external/COL221166.pdf,WRAP,FALSE,,
ICE v2.0 2011 (UK),Timber,MDF,0.74,Wide density range (350-800 kg/m3). Includes 3.8 MJ bio-energy.,720,10,https://www.ribaproductselector.com/Docs/1/27901/external/COL812459.pdf,WRAP,FALSE,,
ICE v2.0 2011 (UK),Timber,Oriented Strand Board (OSB) ,0.99,Estimated from Refs. 103 and 150. Includes 5.9 MJ bio-energy.,630,10,https://www.ribaproductselector.com/ProductReport.ashx?ci=5477&pr=Norbord-SterlingOSBZero,WRAP,FALSE,,
ICE v2.0 2011 (UK),Timber,Particle Board,0.86,"Very large data range, difficult to select appropriate values. Modified from CORRIM reports. Includes 3.2 MJ bio-energy (uncertain estimate).",1330,10,https://www.ribaproductselector.com/Docs/1/00961/external/COL992473.pdf,WRAP,FALSE,,
ICE v2.0 2011 (UK),Timber,Plywood,1.1,Includes 7.1 MJ bio-energy. Density average of ICE database.,620,10,Average plywood value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Timber,Sawn Hardwood,0.87,"It was difficult to select values for hardwood, the data was estimated from the CORRIM studies (Ref. 88). Includes 6.3 MJ bio-energy. Dry density of ICE database.",700,10,Dry hardwood timber value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Timber,Sawn Softwood,0.59,Includes 4.2 MJ bio-energy. Density average of ICE database.,563,10,Average softwood value from CIBSE data,WRAP,FALSE,,
ICE v2.0 2011 (UK),Tin,Tin,14.47,"lack of modern data, large data range",7300,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Titanium,Virgin,31.55,"lack of modern data, large data range, small sample size",4506,5,Single value from Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Titanium,Recycled,14.7,"lack of modern data, large data range, small sample size",4506,5,Single value from Wikipedia,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Vinyl Flooring,General,3.19,"23.58 MJ/kg Feedstock Energy  (Included), Same value as PVC calendered sheet. Note: the book version of ICE contains the wrong values. These values are up to date",1200,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE,,
ICE v2.0 2011 (UK),Zinc,General,3.09,"Uncertain carbon estimates, currently estimated from typical UK industrial fuel mix. Recycled content of general Zinc 30%.",7000,5,Single value from CIBSE data,WRAP,TRUE,,
ICE v2.0 2011 (UK),Zinc,Virgin,4.18,,7000,5,Single value from CIBSE data,WRAP,TRUE,,
ICE v2.0 2011 (UK),Zinc,Recycled,0.52,,7000,5,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aggregate,General - incl. secondary & recycled,0.00757,This is an estimate of a market average aggregate,2240,5,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aggregate,General UK,0.00493,This is an estimate of a market average aggregate,2240,5,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aggregate,Virgin land won resources,0.00483,This is an estimate of a market average aggregate,2240,5,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aggregate,Virgin marine resources,0.00904,This is an estimate of a market average aggregate,2240,5,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aggregate,Recycled resources - without heat treatment,0.0061,This is an estimate of a market average aggregate,2240,5,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aggregate,Recycled resources - with heat treatment,0.11877,This is an estimate of a market average aggregate,2240,5,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Clay,"Expanded - bulk, loose",0.39321,This is an estimate of a market average aggregate,1760,5,from Engineering Toolbox,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,General - European,6.67,European mix incl. imports,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,Sheet - European,6.58,European mix incl. imports,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,Foil - European,7.47,European mix incl. imports,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,Extruded profile - European,6.83,European mix incl. imports,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,Cast - European,6.72,European mix incl. imports,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,General - Worldwide,13.1,Worldwide,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,Sheet - Worldwide,13,Worldwide,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,Foil - Worldwide,13.8,Worldwide,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,Extruded profile - Worldwide,13.2,Worldwide,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,Cast - Worldwide,13.2,Worldwide,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,General - made in Europe,5.58,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,General - made in North America,5.65,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,General - made in Africa,12.4,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,General - made in China,14.6,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,General - made in Japan,10.6,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,General - made in Middle East,10.8,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,General - made in Oceania,12.8,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,General - made in Other Asia,15.9,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,General - made in Russia,5.55,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,General - made in South America,8.32,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Aluminium,General - made in South Korea,11.9,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE,,
ICE v3.0b 2019 (UK),Asphalt,3% bitumen binder content,0.0501,Straight run bitumen content by mass,2300,5,Mode from CIBSE data,Assumed as 5% for baseline,TRUE,,
