Database,Material,Subtype,kgCO2e/kg,Comments,density,wastage,densityAssumption,wasteReference,Latest
ICE v2.0 2011 (UK),Brass,General,2.64,"Poor data availability. It is believed that the data may be largely dependent upon ore grade.  Poor carbon data, making estimate of embodied carbon difficult.",8500,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Brass,General - Virgin,4.8,"Poor data availability. It is believed that the data may be largely dependent upon ore grade.  Poor carbon data, making estimate of embodied carbon difficult.",8500,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Brass,General - Recycled,1.2,"Poor data availability. It is believed that the data may be largely dependent upon ore grade.  Poor carbon data, making estimate of embodied carbon difficult.",8500,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Bronze,General,4,Average of the only two references,8150,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Ceramics,General,0.7,"Very large data range, difficult to select values for general ceramics.  ",1850,5,Average ceramic tile value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Ceramics,Fittings,1.14,Ref. 1.,1850,5,Average ceramic tile value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Ceramics,Sanitary Products,1.61,Limited data.,1850,5,Average ceramic tile value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Ceramics,Tiles and Cladding Panels,0.78,"Difficult to select, large range, limited data. See Ref. 292.",1850,5,Average ceramic tile value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Clay,Tile,0.48,None,1900,5,Clay tiles value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Clay,Vitrified clay pipe DN 100 & DN 150,0.46,None,607,5,https://www.wavin.com/en-gb/-/media/Products/2018/01/29/21/15/31355_Hepworth-clayPipe-dimensions-and-weightspdf.ashx,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Clay,Vitrified clay pipe DN 200 & DN 300,0.5,None,607,5,https://www.wavin.com/en-gb/-/media/Products/2018/01/29/21/15/31355_Hepworth-clayPipe-dimensions-and-weightspdf.ashx,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Clay,Vitrified clay pipe DN 500,0.55,None,607,5,https://www.wavin.com/en-gb/-/media/Products/2018/01/29/21/15/31355_Hepworth-clayPipe-dimensions-and-weightspdf.ashx,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Copper,EU Tube & Sheet,2.71,"EU production data, estimated from Kupfer Institut LCI data. 37% recycled content (the 3 year world average). World average data is expected to be higher than these values.",8600,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Copper,EU Tube & Sheet - Virgin,3.81,None,8600,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Copper,EU Tube & Sheet - Recycled,0.84,None,8600,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Copper,Recycled from high grade scrap ,1.1,"Uncertain, difficult to estimate with the data available.",8600,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Copper,Recycled from low grade scrap ,3.1,"Uncertain, difficult to estimate with the data available.",8600,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Insulation,Cork,0.19,Ref. 55.,110,5,From CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Insulation,Rockwool,1.12,Cradle to Grave,100,15,From CIBSE data. Can vary significantly.,WRAP,TRUE
ICE v2.0 2011 (UK),Iron,General,2.03,It was difficult to estimate the embodied energy and carbon of iron with the data available.,7870,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Lead,General,1.6681,"Allocated (divided) on a mass basis, assumes recycling rate of 61%",11340,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Lead,General - Virgin,3.37,None,11340,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Lead,General - Recycled,0.58,Scrap batteries are a main feedstock for recycled lead,11340,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Linoleum,General,1.21,"Data difficult to select, large data range.",1200,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Miscellaneous,Chromium,5.39,Ref. 22.,7190,5,From Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Miscellaneous,Lithium,5.3,Ref. 22.,534,5,From Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Miscellaneous,Mandolite,1.4,Ref. 1.,390,5,https://www.ribaproductselector.com/Product.aspx?ci=1486&pr=Promat-MANDOLITECP2,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Miscellaneous,Manganese,3.5,Ref. 22.,7210,5,From Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Miscellaneous,Mercury,4.94,Ref. 22.,13534,5,From Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Miscellaneous,Molybedenum,30.3,Ref. 22.,1028,5,From Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Miscellaneous,Nickel,12.4,Ref. 114.,8908,5,From Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Miscellaneous,Perlite - Expanded,0.52,Ref. 114.,90,5,Average from Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Miscellaneous,Perlite - Natural,0.03,Ref. 114.,1100,5,From Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Miscellaneous,Silver,6.31,Ref. 148.,1050,5,From Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Miscellaneous,Vanadium,228,Ref. 22.,6100,5,From Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Miscellaneous,Water,0.0008,None,1000,5,From Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Miscellaneous,Yttrium,84,Ref. 22.,4472,5,From Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Miscellaneous,Zirconium,97.2,Ref. 22.,6520,5,From Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Paper,Paperboard (General for construction use),1.29,"Excluding calorific value (CV) of wood, excludes carbon sequestration/biogenic carbon storage. Assumes kgCO2 = kgCO2e",480,5,Laminated paper value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Paper,Fine Paper,1.49,"Excluding CV of wood, excludes carbon sequestration.  Assumes kgCO2 = kgCO2e",480,5,Laminated paper value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Paper,Wallpaper,1.93,Assumes kgCO2 = kgCO2e,480,5,Laminated paper value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Plaster,General (Gypsum),0.13,"Problems selecting good value, inconsistent figures, West et al believe this is because of past aggregation of EE with cement",1200,5,Gypsum value from CIBSE data,WRAP,TRUE
ICE v2.0 2011 (UK),Plaster,Plasterboard,0.39,"See Ref [WRAP] for further info on GWP data, including disposal impacts which are significant for Plasterboard.",950,22.5,Plasterboard value from CIBSE data,WRAP,TRUE
ICE v2.0 2011 (UK),Plastics,ABS,3.76,48.6 MJ/kg Feedstock Energy  (Included),1025,5,http://www.bpf.co.uk//plastipedia/polymers/ABS_and_Other_Specialist_Styrenics.aspx,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Plastics,HDPE Pipe,2.52,55.1 MJ/kg Feedstock Energy  (Included),970,5,From Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Plastics,LDPE Film,2.6,55.2 MJ/kg Feedstock Energy (Included),930,15,From Wikipedia,WRAP,TRUE
ICE v2.0 2011 (UK),Plastics,Nylon (Polyamide) 6 Polymer,9.14,"38.6 MJ/kg Feedstock Energy  (Included). Doesn t include final fabrication. Plastics Europe state that two thirds of nylon is used as fibres (textiles, carpets etc) in Europe and that most of the remainder as injection mouldings. Dinitrogen monoxide and methane emissions are very significant contributors to GWP.",1150,5,From Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Plastics,"Nylon (polyamide) 6,6 Polymer",7.92,50.7 MJ/kg Feedstock Energy  (Included). Doesn t include final fabrication (i.e. injection moulding). See comments for Nylon 6 polymer.,1150,5,From Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Plastics,Polycarbonate,7.62,36.7 MJ/kg Feedstock Energy  (Included). Doesn t include final fabrication.,1200,5,https://www.ribaproductselector.com/Docs/4/09674/external/COL641227.pdf,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Plastics,"Polypropylene, Orientated Film",3.43,55.7 MJ/kg Feedstock Energy  (Included).,1175,5,From Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Plastics,"Polypropylene, Injection Moulding",4.49,"54 MJ/kg Feedstock Energy  (Included). If biomass benefits are included the CO2 may reduce to 3.85 kgCO2/kg, and GWP down to 4.41 kg CO2e/kg.",1175,5,From Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Plastics,Expanded Polystyrene,3.29,46.2 MJ/kg Feedstock Energy  (Included),35,5,https://www.ribaproductselector.com/Docs/1/02081/external/COL578974.pdf,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Plastics,General Purpose Polystyrene,3.43,46.3 MJ/kg Feedstock Energy  (Included),1050,5,http://www.bpf.co.uk/plastipedia/polymers/GPPS.aspx,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Plastics,High Impact Polystyrene,3.42,46.4 MJ/kg Feedstock Energy  (Included),1045,5,http://www.bpf.co.uk/plastipedia/polymers/HIPS.aspx,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Plastics,Polyurethane Flexible Foam,4.84,33.47 MJ/kg Feedstock Energy  (Included). Poor data availability for feedstock energy,30,5,Polyurethane foam value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Plastics,Polyurethane Rigid Foam,4.26,37.07 MJ/kg Feedstock Energy  (Included). Poor data availability for feedstock energy,30,5,Polyurethane form value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Plastics,PVC General,3.1,28.1 MJ/kg Feedstock Energy  (Included). Based on market average consumption of types of PVC in the European construction industry,1380,5,Polyvinylchloride (PVC) value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Plastics,PVC Pipe,3.23,"24.4 MJ/kg Feedstock Energy  (Included). If biomass benefits are included the CO2 may reduce to 2.51 kgCO2/kg, and GWP down to 3.23 kg CO2e/kg.",1380,5,Polyvinylchloride (PVC) value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Plastics,Calendered Sheet PVC,3.19,"24.4 MJ/kg Feedstock Energy  (Included). If biomass benefits are included the CO2 may reduce to 2.56 kgCO2/kg, and GWP down to 3.15 kg CO2e/kg.",1380,5,Polyvinylchloride (PVC) value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Plastics,PVC Injection Moulding,3.3,"35.1 MJ/kg Feedstock Energy  (Included). If biomass benefits are included the CO2 may reduce to 2.23 kgCO2/kg, and GWP down to 2.84 kg CO2e/kg.",1380,5,Polyvinylchloride (PVC) value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Plastics,UPVC Film,3.16,25.3 MJ/kg Feedstock Energy  (Included),1380,5,Polyvinylchloride (PVC) value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Rubber,General,2.85,40 MJ/kg Feedstock Energy  (Included). Density value is general value from ICE database,1500,6,Rubber value from CIBSE data,WRAP,TRUE
ICE v2.0 2011 (UK),Sand,General,0.0051,Estimated from real UK industrial fuel consumption data,2240,5,Sand value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Steel,Stainless,6.145,World average data from the Institute of Stainless Steel Forum (ISSF) life cycle inventory data. Selected data is for the most popular grade (304). Stainless steel does not have separate primary and recycled material production routes.,8000,0,Stainless steel 20%Ni value from CIBSE data,WRAP,TRUE
ICE v2.0 2011 (UK),Stone,General ,0.079,"ICE database average (statistic), uncertain. See material profile.",2200,5,Assumed density,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Stone,Granite,0.7,Estimated from Ref 116.,2880,5,From CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Stone,Limestone,0.09,Estimated from Ref 188.,2180,10,From CIBSE data,WRAP,TRUE
ICE v2.0 2011 (UK),Stone,Marble,0.13,None,2500,3,From CIBSE data,WRAP,TRUE
ICE v2.0 2011 (UK),Stone,Marble tile,0.21,Ref. 40.,2500,5,From CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Stone,Sandstone,0.06,Uncertain estimate based on Ref. 262.,2200,5,From CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Stone,Shale,0.002,None,2700,5,From CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Stone,Slate,0.035,Large data range,1600,5,From CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Tin,Tin,14.47,"lack of modern data, large data range",7300,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Titanium,Virgin,31.55,"lack of modern data, large data range, small sample size",4506,5,Single value from Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Titanium,Recycled,14.7,"lack of modern data, large data range, small sample size",4506,5,Single value from Wikipedia,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Vinyl Flooring,General,3.19,"23.58 MJ/kg Feedstock Energy  (Included), Same value as PVC calendered sheet. Note: the book version of ICE contains the wrong values. These values are up to date",1200,5,Single value from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v2.0 2011 (UK),Zinc,General,3.09,"Uncertain carbon estimates, currently estimated from typical UK industrial fuel mix. Recycled content of general Zinc 30%.",7000,5,Single value from CIBSE data,WRAP,TRUE
ICE v2.0 2011 (UK),Zinc,Virgin,4.18,None,7000,5,Single value from CIBSE data,WRAP,TRUE
ICE v2.0 2011 (UK),Zinc,Recycled,0.52,None,7000,5,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aggregate,General - incl. secondary & recycled,0.00757,This is an estimate of a market average aggregate,2240,5,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aggregate,General UK,0.00493,This is an estimate of a market average aggregate,2240,5,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aggregate,Virgin land won resources,0.00483,This is an estimate of a market average aggregate,2240,5,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aggregate,Virgin marine resources,0.00904,This is an estimate of a market average aggregate,2240,5,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aggregate,Recycled resources - without heat treatment,0.0061,This is an estimate of a market average aggregate,2240,5,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aggregate,Recycled resources - with heat treatment,0.11877,This is an estimate of a market average aggregate,2240,5,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Clay,"Expanded - bulk, loose",0.39321,This is an estimate of a market average aggregate,1760,5,from Engineering Toolbox,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,General - European,6.67,European mix incl. imports,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,Sheet - European,6.58,European mix incl. imports,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,Foil - European,7.47,European mix incl. imports,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,Extruded profile - European,6.83,European mix incl. imports,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,Cast - European,6.72,European mix incl. imports,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,General - Worldwide,13.1,Worldwide,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,Sheet - Worldwide,13,Worldwide,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,Foil - Worldwide,13.8,Worldwide,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,Extruded profile - Worldwide,13.2,Worldwide,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,Cast - Worldwide,13.2,Worldwide,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,General - made in Europe,5.58,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,General - made in North America,5.65,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,General - made in Africa,12.4,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,General - made in China,14.6,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,General - made in Japan,10.6,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,General - made in Middle East,10.8,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,General - made in Oceania,12.8,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,General - made in Other Asia,15.9,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,General - made in Russia,5.55,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,General - made in South America,8.32,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Aluminium,General - made in South Korea,11.9,This data has been derived from the world aluminium LCA's,2700,10,Single value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Asphalt,3% bitumen binder content,0.0501,Straight run bitumen content by mass,2300,5,Mode from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v3.0b 2019 (UK),Asphalt,4% bitumen binder content,0.0522,Straight run bitumen content by mass,2300,5,Mode from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v3.0b 2019 (UK),Asphalt,5% bitumen binder content,0.0542,Straight run bitumen content by mass,2300,5,Mode from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v3.0b 2019 (UK),Asphalt,6% bitumen binder content,0.0563,Straight run bitumen content by mass,2300,5,Mode from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v3.0b 2019 (UK),Asphalt,7% bitumen binder content,0.0584,Straight run bitumen content by mass,2300,5,Mode from CIBSE data,Assumed as 5% for baseline,TRUE
ICE v3.0b 2019 (UK),Bitumen,Straight-run,0.191,"Source: Eurobitume 2012. Life cycle inventory, bitumen, EBA",2400,5,Highest from CIBSE data (composite flooring),Assumed as 5% for baseline,TRUE
ICE v3.0b 2019 (UK),Bitumen,Polymer modified (PMB),326,"Source: Eurobitume 2012. Life cycle inventory, bitumen, EBA",2400,5,Highest from CIBSE data (composite flooring),Assumed as 5% for baseline,TRUE
ICE v3.0b 2019 (UK),Bricks,General (common brick),0.21,None,2100,20,Single value from the concrete society,WRAP,TRUE
ICE v3.0b 2019 (UK),Cement,General (UK average),0.832,Mixture taken from average UK sector cement EPD,1860,5,General cement value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Cement,"Average CEM I, OPC",0.912,This is a standard cement with no cementitious additions,1860,5,General cement value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Cement,CEM II-A-S - 13% GGBS,0.803,This cement permits between 6-20% GGBS,1860,5,General cement value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Cement,CEM II-B-S - 28% GGBS,0.672,This cement permits between 21-35% GGBS,1860,5,General cement value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Cement,CEM II-A-P - 13% natural pozzolanic ash,0.798,This cement permits between 6-20% natural pozzolanic ash,1860,5,General cement value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Cement,CEM II-B-P - 28% natural pozzolanic ash,0.661,This cement permits between 21-35% natural pozzolanic ash,1860,5,General cement value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Cement,CEM II-A-V - 13% fly ash siliceous,0.798,This cement permits between 6-20% siliceous fly ash,1860,5,General cement value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Cement,CEM II-B-V - 28% fly ash siliceous,0.661,This cement permits between 21-35% siliceous fly ash,1860,5,General cement value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Cement,CEM II-A-W - 13% fly ash calcareous,0.798,This cement permits between 6-20% calcareous fly ash,1860,5,General cement value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Cement,CEM II-B-W - 28% fly ash calcareous,0.661,This cement permits between 21-35% calcareous fly ash,1860,5,General cement value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Cement,CEM II-A-L - 13% limestone,0.799,This cement permits between 6-20% limestone,1860,5,General cement value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Cement,CEM II-B-L - 28% limestone,0.664,This cement permits between 21-35% limestone,1860,5,General cement value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Cement,CEM II-A-M - 16% cement replacement,0.774,This cement permits between 12-20% cement replacement,1860,5,General cement value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Cement,CEM II-B-M - 28% cement replacement,0.666,This cement permits between 21-35% cement replacement,1860,5,General cement value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Cement,CEM III-A - 50.5% GGBS,0.475,This cement permits between 36-65% GGBS,1860,5,General cement value from CIBSE data,WRAP,TRUE
ICE v3.0b 2019 (UK),Cement,CEM III-B - 73% GGBS,0.278,This cement permits between 66-80% GGBS,1860,5,General cement value from CIBSE data,WRAP,TRUE
